Family,Identifier,Sort-As,Security Requirement,Assessment Objective,Potential Assessment Method and Objects: Examine,Potential Assessment Method and Objects: Interview,Potential Assessment Method and Objects: Test
System and Communications Protection,3.13.8[c],03.13.08.c,,either cryptographic mechanisms or alternative physical safeguards are implemented to prevent unauthorized disclosure of CUI during transmission.,,,
System and Communications Protection,3.13.9,03.13.09.0,Terminate network connections associated with communications sessions at the end of the sessions or after a defined period of inactivity.,Determine if:,[SELECT FROM: System and communications protection policy; procedures addressing network disconnect; system design documentation; security plan; system configuration settings and associated documentation; system audit logs and records; other relevant documents or records]. ,[SELECT FROM: System or network administrators; personnel with information security responsibilities; system developer]. ,[SELECT FROM: Mechanisms supporting or implementing network disconnect capability].
System and Communications Protection,3.13.9[a],03.13.09.a,,a period of inactivity to terminate network connections associated with communications sessions is defined.,,,
System and Communications Protection,3.13.9[b],03.13.09.b,,network connections associated with communications sessions are terminated at the end of the sessions.,,,
System and Communications Protection,3.13.9[c],03.13.09.c,,network connections associated with communications sessions are terminated after the defined period of inactivity.,,,
System and Communications Protection,3.13.10,03.13.10.0,Establish and manage cryptographic keys for cryptography employed in organizational systems. ,Determine if:,[SELECT FROM: System and communications protection policy; procedures addressing cryptographic key establishment and management; security plan; system design documentation; cryptographic mechanisms; system configuration settings and associated documentation; system audit logs and records; other relevant documents or records]. ,[SELECT FROM: System or network administrators; personnel with information security responsibilities; personnel with responsibilities for cryptographic key establishment and management]. ,[SELECT FROM: Mechanisms supporting or implementing cryptographic key establishment and management].
System and Communications Protection,3.13.10[a],03.13.10.a,,cryptographic keys are established whenever cryptography is employed.,,,
System and Communications Protection,3.13.10[b],03.13.10.b,,cryptographic keys are managed whenever cryptography is employed.,,,
System and Communications Protection,3.13.11,03.13.11.0,Employ FIPS-validated cryptography when used to protect the confidentiality of CUI. ,Determine if FIPS-validated cryptography is employed to protect the confidentiality of CUI.,[SELECT FROM: System and communications protection policy; procedures addressing cryptographic protection; security plan; system design documentation; system configuration settings and associated documentation; cryptographic module validation certificates; list of FIPS-validated cryptographic modules; system audit logs and records; other relevant documents or records]. ,[SELECT FROM: System or network administrators; personnel with information security responsibilities; system developer; personnel with responsibilities for cryptographic protection]. ,[SELECT FROM: Mechanisms supporting or implementing cryptographic protection].
System and Communications Protection,3.13.12,03.13.12.0,,Determine if:,[SELECT FROM: System and communications protection policy; procedures addressing collaborative computing; access control policy and procedures; security plan; system design documentation; system configuration settings and associated documentation; system audit logs and records; other relevant documents or records]. ,[SELECT FROM: System or network administrators; personnel with information security responsibilities; system developer; personnel with responsibilities for managing collaborative computing devices]. ,[SELECT FROM: Mechanisms supporting or implementing management of remote activation of collaborative computing devices; mechanisms providing an indication of use of collaborative computing devices].
System and Communications Protection,3.13.12[a],03.13.12.a,,collaborative computing devices are identified.,,,
System and Communications Protection,3.13.12[b],03.13.12.b,,collaborative computing devices provide indication to users of devices in use.,,,
System and Communications Protection,3.13.12[c],03.13.12.c,,remote activation of collaborative computing devices is prohibited. ,,,
System and Communications Protection,3.13.13,03.13.13.0,Control and monitor the use of mobile code.,Determine if:,"[SELECT FROM: System and communications protection policy; procedures addressing mobile code; mobile code usage restrictions, mobile code implementation policy and procedures; security plan; list of acceptable mobile code and mobile code technologies; list of unacceptable mobile code and mobile technologies; authorization records; system monitoring records; system audit logs and records; other relevant documents or records]. ",[SELECT FROM: System or network administrators; personnel with information security responsibilities; personnel with responsibilities for managing mobile code]. ,"[SELECT FROM: Organizational process for controlling, authorizing, monitoring, and restricting mobile code; mechanisms supporting or implementing the management of mobile code; mechanisms supporting or implementing the monitoring of mobile code].  "
System and Communications Protection,3.13.13[a],03.13.13.a,,use of mobile code is controlled.,,,
System and Communications Protection,3.13.13[b],03.13.13.b,,use of mobile code is monitored.,,,
System and Communications Protection,3.13.14,03.13.14.0,Control and monitor the use of Voice over Internet Protocol (VoIP) technologies,Determine if:,[SELECT FROM: System and communications protection policy; procedures addressing VoIP; VoIP usage restrictions; VoIP implementation guidance; security plan; system design documentation; system configuration settings and associated documentation; system monitoring records; system audit logs and records; other relevant documents or records]. ,[SELECT FROM: System or network administrators; personnel with information security responsibilities; personnel with responsibilities for managing VoIP]. ,"[SELECT FROM: Organizational process for authorizing, monitoring, and controlling VoIP; mechanisms supporting or implementing authorizing, monitoring, and controlling VoIP].  "
System and Communications Protection,3.13.14[a],03.13.14.a,,use of Voice over Internet Protocol (VoIP) technologies is controlled.,,,
System and Communications Protection,3.13.14[b],03.13.14.b,,use of Voice over Internet Protocol (VoIP) technologies is monitored.,,,
System and Communications Protection,3.13.15,03.13.15.0,Protect the authenticity of communications sessions,Determine if the authenticity of communications sessions is protected.,[SELECT FROM: System and communications protection policy; procedures addressing session authenticity; security plan; system design documentation; system configuration settings and associated documentation; system audit logs and records; other relevant documents or records]. ,[SELECT FROM: System or network administrators; personnel with information security responsibilities]. ,[SELECT FROM: Mechanisms supporting or implementing session authenticity].
System and Communications Protection,3.13.16,03.13.16.0,Protect the confidentiality of CUI at rest. ,Determine if the confidentiality of CUI at rest is protected.,[SELECT FROM: System and communications protection policy; procedures addressing protection of information at rest; security plan; system design documentation; list of information at rest requiring confidentiality protections; system configuration settings and associated documentation; cryptographic mechanisms and associated configuration documentation; other relevant documents or records]. ,[SELECT FROM: System or network administrators; personnel with information security responsibilities; system developer]. ,[SELECT FROM: Mechanisms supporting or implementing confidentiality protections for information at rest].
System and Information Integrity,3.14.1,03.14.01.0,"Identify, report, and correct system flaws in a timely manner.",Determine if:,"[SELECT FROM: System and information integrity policy; procedures addressing flaw remediation; procedures addressing configuration management; security plan; list of flaws and vulnerabilities potentially affecting the system; list of recent security flaw remediation actions performed on the system (e.g., list of installed patches, service packs, hot fixes, and other software updates to correct system flaws); test results from the installation of software and firmware updates to correct system flaws; installation/change control records for security-relevant software and firmware updates; other relevant documents or records]. ","[SELECT FROM: System or network administrators; personnel with information security responsibilities; personnel installing, configuring, and maintaining the system; personnel with responsibility for flaw remediation; personnel with configuration management responsibility]. ","[SELECT FROM: Organizational processes for identifying, reporting, and correcting system flaws; organizational process for installing software and firmware updates; mechanisms supporting or implementing reporting, and correcting system flaws; mechanisms supporting or implementing testing software and firmware updates]. "
System and Information Integrity,3.14.1[a],03.14.01.a,,the time within which to identify system flaws is specified.,,,
System and Information Integrity,3.14.1[b],03.14.01.b,,system flaws are identified within the specified time frame.,,,
System and Information Integrity,3.14.1[c],03.14.01.c,,the time within which to report system flaws is specified.,,,
System and Information Integrity,3.14.1[d],03.14.01.d,,system flaws are reported within the specified time frame.,,,
System and Information Integrity,3.14.1[e],03.14.01.e,,the time within which to correct system flaws is specified.,,,
System and Information Integrity,3.14.1[f],03.14.01.f,,system flaws are corrected within the specified time frame.,,,
